name,symbol,id,is_governance
Rollbit Coin,rlb,rollbit-coin,
SafePal,sfp,safepal,
ECOMI,omi,ecomi,
Aragon,ant,aragon,True
Ankr Network,ankr,ankr,True
Golem,glm,golem,
XT.com,xt,xtcom-token,
Ribbon Finance,rbn,ribbon-finance,True
IoTeX,iotx,iotex,
AltLayer,alt,altlayer,True
SKALE,skl,skale,
Open Exchange Token,ox old,open-exchange-token,
Metis,metis,metis-token,True
ZetaChain,zeta,zetachain,
Kujira,kuji,kujira,
SuperVerse,super,superfarm,True
aelf,elf,aelf,
cWBTC,cwbtc,compound-wrapped-btc,
Pixels,pixel,pixels,
Sushi,sushi,sushi,True
Ether.fi,ethfi,ether-fi,
PepeCoin,pepecoin,pepecoin-2,
UMA,uma,uma,True
0x Protocol,zrx,0x,True
Tellor Tributes,trb,tellor,
Autonolas,olas,autonolas,True
Polymath,poly,polymath,
Band Protocol,band,band-protocol,True
Merit Circle,mc,merit-circle,True
Reserve Rights,rsr,reserve-rights-token,
Amp,amp,amp-token,
Magic Internet Money (Ethereum),mim,magic-internet-money,
Spell,spell,spell-token,True
Celsius Network,cel,celsius-degree-token,
e-Radix,exrd,e-radix,
Dogelon Mars,elon,dogelon-mars,
WAX,waxp,wax,
OMG Network,omg,omisego,
Velas,vlx,velas,
renBTC,renbtc,renbtc,
Fei USD,fei,fei-usd,
Rally,rly,rally-2,
Bancor Network,bnt,bancor,True
Telcoin,tel,telcoin,
xSUSHI,xsushi,xsushi,
Smooth Love Potion,slp,smooth-love-potion,
Anchor Protocol,anc,anchor-protocol,
UFO Gaming,ufo,ufo-gaming,
SwissBorg,borg,swissborg,
Perpetual Protocol,perp,perpetual-protocol,
Ren,ren,republic-protocol,
Synapse,syn,synapse-2,True
Yield Guild Games,ygg,yield-guild-games,True
Chromia,chr,chromaway,
Onyxcoin,xcn,chain-2,
Everscale,ever,everscale,
MAGA,trump,maga,
Humans.ai,heart,humans-ai,
Keep Network,keep,keep-network,
API3,api3,api3,True
Ultra,uos,ultra,
Evmos,evmos,evmos,
Serum,srm,serum,
HUSD,husd,husd,
Xido Finance,xido,xido-finance,
VGX Token,vgx,ethos,
Kyber Network Crystal,knc,kyber-network-crystal,True
Portal,portal,portal-2,
SSV Network,ssv,ssv-network,True
Astrafer,astrafer,astrafer,True
DAO Maker,dao,dao-maker,True
VVS Finance,vvs,vvs-finance,
LooksRare,looks,looksrare,
Moonchain,mxc,mxc,
Coinmetro,xcm,coinmetro,
Alchemix USD,alusd,alchemix-usd,
Blox,cdt,blox,
Status,snt,status,True
PlayDapp,pda,playdapp,
CEEK Smart VR,ceek,ceek,
CoinEx,cet,coinex-token,
STASIS EURO,eurs,stasis-eurs,
Nest Protocol,nest,nest,
Bitgert,brise,bitrise-token,
LUKSO [OLD],lyxe,lukso-token,
Pundi X,pundix,pundi-x-2,
Radio Caca,raca,radio-caca,
Tribe,tribe,tribe-2,
Cratos,crts,cratos,
